correo|nombre|dire|pais|departamento|prov|dist|ruc|rep|telefono|correo
asedur.org@gmail.com |agencia de servicios estrategicos para el desarrollo urbano regional - asedur |calle bolognesi 125 - oficina 1004 ||lima |||||444-0344 |asedur.org@gmail.com 
aicode.ong@gmail.com |agencia internacional de cooperacion y desarrollo - aicode |urb. avientel mz. c lote 9 ||lambayeque |||||999885944|aicode.ong@gmail.com 
titotap10@hotmail.com |agro industria - |calle torres paz 319 2do. piso ||lambayeque |||||074 - 97980377 |titotap10@hotmail.com 
agrosalud610@yahoo.es |agrosalud de ucayali - |jr. atahualpa 728 ||ucayali |||||(061) 590491 |agrosalud610@yahoo.es 
ongsjdios@ongsjdios.org.pe / alfsjdios@alfsjdios.pe |general - alfsjdios |jr. apurimac 349 ||lima |||||426-8247 |ongsjdios@ongsjdios.org.pe / alfsjdios@alfsjdios.pe 
henry.juarez@aguasanperu.org |agua y saneamiento para peru - aguasan peru |calle la molina 205 - urb. las viñas ||lima |||||495-8655 / 997508265 |henry.juarez@aguasanperu.org 
asociacionakuyukuku@gmail.com |akuy akuku - |av. faustino sanchez carrion 750, interior 1203 ||lima |||||936134345|asociacionakuyukuku@gmail.com 
albergue_123ismj@hotmail.com |albergue de la iglesia santo monte de jehova - |calle primavera 143 anexo de vista alegre ||junín |||||(064) 363578 |albergue_123ismj@hotmail.com 
ana.pino@aldeasinfantiles.org.pe / |aldeas infantiles sos peru - asociacion nacional - |calle ricardo angulo 744 urb. corpac ||lima |||||200-7800 |ana.pino@aldeasinfantiles.org.pe / 
gbronfman@allpanchis.com |allpanchis - |av. paz soldan 190 ||lima |||||989045103|gbronfman@allpanchis.com 
contactenos@almacapac.org.pe |alma capac - alma capac |jr. camana 381 - oficina 206 ||lima |||||428-3443 |contactenos@almacapac.org.pe 
sonia@alter.org.pe |alternativa centro de investigacion social y educacion popular - |jr. emeterio perez 348 - urbanizacion ingenieria ||lima |||||481-1585 / 481-5801 |sonia@alter.org.pe 
asodeperu@asodeperu.org.pe |alternativas sociales de desarrollo - peru - asode - peru |jr. cabo gutarra 965 ||lima |||||943850932|asodeperu@asodeperu.org.pe 
aamaperu@yahoo.es / aamaperu@gmail.com |ama - asociacion indigena del peru - ama |pasaje marticorena 106 paradero la legua-uncp ||junín |||||996575685|aamaperu@yahoo.es / aamaperu@gmail.com 
pilar@amantani.org.uk / rodrigo@amantani.org.pe |amantani ccorca - a. ccorca |urbanizacion mariscal gamarra pasaje los rosales 20 d ||cusco |||||(084) 584785 |pilar@amantani.org.uk / rodrigo@amantani.org.pe 
karlasofia234@hotmail.com |amas al peru - |av. mansiche 385 ||la libertad |||||044-202167 |karlasofia234@hotmail.com 
ampa@ampaperu.info |amazonicos por la amazonia - ampa |mz. n lote 1 - urb. vista alegre ||san martín |||||(042) 342698 |ampa@ampaperu.info 
proyectos@apega.pe |civil |jr.diego gavilan nº 126 ||lima |||||461-2221 |proyectos@apega.pe 
aportes@aportes.org.pe |aportes para el desarrollo humano - aportes |jr. larrabure y unanue 231, oficina 903 ||lima |||||424-2420 |aportes@aportes.org.pe 
apropo@apropo.org.pe ||av. canaval y moreyra 345 piso 3 ||lima |||||204-5308 |apropo@apropo.org.pe 
aspredperu@hotmail.com |apoyo social, prevencion de desastres y medio ambiente - aspred - |calle manco capac 188 ||la libertad |||||998484389|aspredperu@hotmail.com 
cventurabarriga@gmail.com |aprendiendo a transitar - |calle san alberto 253, jose carlos mariategui ||lima |||||955885593|cventurabarriga@gmail.com 
contacto@arcerojoperu.com |arce rojo - |calle cuba 369, urb. el recreo ||la libertad |||||(044) 596335 |contacto@arcerojoperu.com 
acoremabiodiverso@yahoo.com |areas costeras y recursos marinos - acorema - |calle san francisco 253, oficina 201-b ||ica |||||(056) 534094 |acoremabiodiverso@yahoo.com 
info@arpegioperu.org |arpegio - |calle nicolas rebaza 336 ,urb. las quintanas ||la libertad |||||(044) 293358 |info@arpegioperu.org 
asisperuinternacional@gmail.com |asis peru internacional - |jiron francisco lazo 1815, piso 2, interior b ||lima |||||472-8430 |asisperuinternacional@gmail.com 
ong7huacachina@hotmail.com |actash |av. arequipa 4971 dpto 103-b ||lima |||||995817113|ong7huacachina@hotmail.com 
agape@asociacionagape.org / ||calle las esmeraldas 417- urb. balconcillo ||lima |||||265-8714 |agape@asociacionagape.org / 
ong.agla@gmail.com |asociacion agla - |jr. los quipus 121 urb. paucarbamba ||huánuco |||||966757926 / 999640909 / |ong.agla@gmail.com 
yenarusbb_5824@hotmail.com |asociacion agro forestal amigos del planeta - |av. cahuide 122 ||apurimac |||||(083) 324590 / 990788465 / |yenarusbb_5824@hotmail.com 
asociacionagroforestal@gmail.com |santa rosa de luichsh - aapccc-qrsrl - |caserio santa rosa de luichosh mz. l lote 5 ||junín |||||917757814 / 4929942 / |asociacionagroforestal@gmail.com 
cauper18@hotmail.com |asociacion agustin cauper videira - agcavi |jr. tapiche 896 ||ucayali |||||969130370|cauper18@hotmail.com 
antonioleobellido@hotmail.com |asociacion allin kawsanapaq - |av. eduardo de habich 462, 3° piso urb. ingenieria ||lima |||||997893067|antonioleobellido@hotmail.com 
allinkawsay@speedy.com.pe |asociacion allin kawsay - |jr. santa ana 720 ||cusco |||||(084) 351914 |allinkawsay@speedy.com.pe 
asociacion.allpa@gmail.com |asociacion allpa para la cooperacion y el desarrollo sostenible - |jr. ancash 635 ||ancash |||||(043) 633240 |asociacion.allpa@gmail.com 
amicidelperu8@gmail.com |asociacion amici del peru - amici del peru |apv fedetac d-16 san sebastian ||cusco |||||984719893 - 973190788 |amicidelperu8@gmail.com 
margotvioleta@yahoo.es |asociacion andares-peru - |jose sabogal 331 - balneario las delicias ||la libertad |||||044-418103 |margotvioleta@yahoo.es 
huancapeti@yahoo.es |asociacion andina de desarrollo sostenible - andes |jr. augusto b. leguia 375 ||ancash |||||043-428096 |huancapeti@yahoo.es 
aadis.cajamarca@gmail.com |asociacion apoyo al desarrollo integral sostenido - |jr. alfonso la torre 371 urb. horacio ceballos ||cajamarca |||||correo electrónico: |aadis.cajamarca@gmail.com 
arariwa.cusco@gmail.com |arariwa |av. los incas 1606 ||cusco |||||(084) 263845 / 236887 |arariwa.cusco@gmail.com 
secretaria@arcoiristurmanye.com |asociacion arco iris - |jr. carlos valenzuela guardia 1265 ||ancash |||||(043) 422792 |secretaria@arcoiristurmanye.com 
atisunoficial@gmail.com |asociacion atisun - |asociacion los cipreses mz. b7 lote 12 ||moquegua |||||970044466|atisunoficial@gmail.com 
asociacionatrevete.peru@gmail.com |asociacion atrevete - at |calle marcelo corne 231 dpto. 501 edificio central park ||la libertad |||||(044) 727777 |asociacionatrevete.peru@gmail.com 
aurora@telefonica.net.pe / awrodriguez@pucp.edu.pe |asociacion aurora vivar - |edificio los olmos 103, residencial san felipe ||lima |||||757-4860 |aurora@telefonica.net.pe / awrodriguez@pucp.edu.pe 
gcontreras@ayniylatam.or.pe |asociacion ayniy latinoamerica - |calle daniel alcides carrion 247 - urb. santa clara ||lima |||||648-7000 / 969196006 |gcontreras@ayniylatam.or.pe 
aba_ayacucho@hotmail.com / elandino88@hotmail.com |asociacion bartolome aripaylla - aba - ayacucho |jr. los pinos mz. v lote 3 - centro poblado de quicapata ||ayacucho |||||(066) 403580 |aba_ayacucho@hotmail.com / elandino88@hotmail.com 
nueva_esperanza2005@yahoo.com ||av. restauracion 126 - semi rural pachacutec ||arequipa |||||(054) 445677 |nueva_esperanza2005@yahoo.com 
mayllonc@abcalianza.org.pe |asociacion benefica alianza por el bien comun - |panamericana antigua sur km. 33.5 ||lima |||||434-1995 |mayllonc@abcalianza.org.pe 
ongmariaechevarriasaona@gmail.com |asociacion benefica maria echevarria saona - |pasaje pedro manyari 273 oficina 201 ||lima |||||946421995|ongmariaechevarriasaona@gmail.com 
dhaustein@prisma.org.pe |asociacion benefica prisma - prisma |calle carlos gonzales 251, urb. maranga ||lima |||||209-0400 |dhaustein@prisma.org.pe 
hola@ruwasunchis.org |asociacion benefica ruwasunchis - ruwasunchis |calle los tucanes nº221 ||lima |||||971861118|hola@ruwasunchis.org 
cardiosalud.aqp@gmail.com |cardiosalud - ong |av. bolognesi 120 ||arequipa |||||(054) 272571 |cardiosalud.aqp@gmail.com 
admincusco@abcprodeinperu.org |asociacion benefico cristiana promotora de desarrollo integral - abc prodein |calle san andres 321 ||cusco |||||(084) 232331 |admincusco@abcprodeinperu.org 
ekometter@biomodus.net |asociacion bio modus tropical - |jr. raymundo carcamo 1043 ||lima |||||2651538 / 950201538 |ekometter@biomodus.net 
bioselva-peru@hotmail.com |asociacion bioselva peru - bioselva |calle atanasio jauregui 104 ||loreto |||||965 720 243 |bioselva-peru@hotmail.com 
buenaeducacionperu@gmail.com |asociacion buena educacion - |av. monte los olivos 854 - urb. prolongacion benavides ||lima |||||557-8059 /949996551/ |buenaeducacionperu@gmail.com 
cysbam@hotmail.com |asociacion caridad y solidaridad para el bienestar del adulto mayor - |urb. el parque de monterrico calle los girasoles mz. a-16 ||lima |||||435-0352 |cysbam@hotmail.com 
vicentina_chavez@hotmail.com |asociacion caritas felices de ilo - |ciudad jardin calle los nardos j-10 ||moquegua |||||953-975195 |vicentina_chavez@hotmail.com 
asoc.caritasfelices@gmail.com |asociacion caritas felices por la salud y el bienestar - acafesabi |av.paul harris 1230 ||lambayeque |||||74214800|asoc.caritasfelices@gmail.com 
asociacioncarmenloya@gmail.com |asociacion carmen loya - |calle san benito 397, urb. san andres iii etapa ||la libertad |||||999984166|asociacioncarmenloya@gmail.com 
casadelamujercarme@hotmail.com |asociacion casa de la mujer carmelitana - |plaza de armas 358 ||ica |||||(056) 633155 |casadelamujercarme@hotmail.com 
acasasdelamisericordia@gmail.com |asociacion casas de la misericordia - |av. las flores n°119 - 14 - urb. santa maría - chosica. ||lima |||||443-3181 / 997-742-828 |acasasdelamisericordia@gmail.com 
lourdesinca@gmail.com |asociacion casas de la salud - |aa.hh virgen asunta a-8 ||ica |||||956036656|lourdesinca@gmail.com 
cadesperu1@hotmail.com |campesinas del peru bosque dorado - cades peru - |av. 28 de julio 85, anexo de pacha ||junín |||||977603403|cadesperu1@hotmail.com 
ceopilo@ceopilo.org.pe |asociacion ceop ilo |nueva victoria mz. h s/n pampa inalambrica ||moquegua |||||(053) 495785 |ceopilo@ceopilo.org.pe 
gottone@desco.org.pe / postmaster@descocentro.org.pe |descocentro - |jr. san jose 294 int. 001 - sec. 01 ||junín |||||(064) 397751 |gottone@desco.org.pe / postmaster@descocentro.org.pe 
acepsocca@hotmail.com |de apurimac peru - acepsocca |jr. uruguay 112 urb.las americas ||apurimac |||||374-0514 |acepsocca@hotmail.com 
ascorrcf@wfu.edu |asociacion centro de innovacion cientifica amazonica - acincia |jr. cajamarca cdra. 1 - puerto candamo ||madre de dios |||||(082) 350440 / 350441 |ascorrcf@wfu.edu 
direccion@chicolatino.org ||calle hipolito tupac amaru v1-15 a urb. tupac amaru ||cusco |||||(084) 272879 |direccion@chicolatino.org 
choqueauqui@hotmail.com |asociacion choque auqui - |mz. o lote 45 3ra etapa - urb. pachacamac ||lima |||||993753169|choqueauqui@hotmail.com 
asoc.chuyma@gmail.com |asociacion chuyma de apoyo rural - chuyma aru |jr. la oroya 114 ||puno |||||(051) 603797 |asoc.chuyma@gmail.com 
ciudadpep2@gmail.com |asociacion ciudad paraiso ecologico de paracas - ciudad-pep |av. cuba 226 ||lima |||||333-0845 |ciudadpep2@gmail.com 
amf19744@hotmail.com |"asociacion civil ""aun hay esperanza"" - "|pasaje saul muñoz menacho 130 ||junín |||||988020317|amf19744@hotmail.com 
fortunatosilva_28@hotmail.com |asociacion civil alianza para el desarrollo tumi - adtumi |jr. libra 1042 - urb. mercurio ||lima |||||232-2426 |fortunatosilva_28@hotmail.com 
ongmv_2011@hotmail.com / jhoniri02@hotmail.com |"de desarrollo ""mejorando vidas"" - ong-d ""mv"" "|"ciudad magisterial mz.""f"" lote 5 "||ayacucho |||||959585193|ongmv_2011@hotmail.com / jhoniri02@hotmail.com 
brazosdelpadre@gmail.com |asociacion civil brazos del padre - |calle cajamarca 691 ||cajamarca |||||(076) 431247 |brazosdelpadre@gmail.com 
rescateloschinchas_peru@outlook.com |asociacion civil brigada de salvamento y rescate los chinchas - |av. nicolas de pierola 661, oficina 201 ||lima |||||940621416|rescateloschinchas_peru@outlook.com 
centrolabor@labor.pe |asociacion civil centro de cultura popular labor - centro labor |jr. junin 266 ||pasco |||||063 - 422627 |centrolabor@labor.pe 
info@sisay.org.pe / rojasorellana@yahoo.com |asociacion civil centro de desarrollo andino sisay - |"urb. emadi mz. ""l"" lote 6 "||ayacucho |||||(066) 527213 |info@sisay.org.pe / rojasorellana@yahoo.com 
accesa2001@yahoo.es |asociacion civil centro de estudios solidarios amazonicos - cesa |calle simon bolivar 1616 ||cajamarca |||||(076) 433887 |accesa2001@yahoo.es 
ongcidel@gmail.com |asociacion civil centro de investigacion de desarrollo local - cidel - |pasaje ayancacochan 148 ||huánuco |||||952047373|ongcidel@gmail.com 
cpinde_tarapoto@hotmail.com |cpinde - |jr. saposoa 203 ||san martín |||||042-527653 |cpinde_tarapoto@hotmail.com 
rymsac@hotmail.com |asociacion civil cooperacion andina - acca |calle moquegua 637 interior 104 ||moquegua |||||(053) 464103 / 950950616 |rymsac@hotmail.com 
cordillera_blanca@hotmail.com |asociacion civil cordillera blanca - |jr. 13 de diciembre 615 piso 2° ||ancash |||||043-587418 |cordillera_blanca@hotmail.com 
addhaperu@hotmail.com |"""addha"" - "|jr. carabaya 928 - oficina 203 ||lima |||||428-1280 |addhaperu@hotmail.com 
ac.cadlca.17@hotmail.com |asociacion civil de desarrollo los caritativos - acdlca |jr. pierola 781 ||la libertad |||||928299157|ac.cadlca.17@hotmail.com 
acpdis.cuce-bp@hotmail.com |del bajo piura - acpdis-cuce-bp |km. 1 carretera la union ||piura |||||(073) 630594 |acpdis.cuce-bp@hotmail.com 
tgq20@yahoo.es ||av. andres a. caceres 680 ||huancavelica |||||998770700|tgq20@yahoo.es 
asociacion@divinoninoperu.org |asociacion civil divino niño jesus - adinij |calle crane 208 ||lima |||||436-8705 |asociacion@divinoninoperu.org 
rodolfoanibal.fuentesllanos@gmail.com |asociacion civil ecosistema & desarrollo sostenible - |calle emancipacion nº 131 urb. santa patricia 3ra. etapa ||lima |||||3496291|rodolfoanibal.fuentesllanos@gmail.com 
asociacion.esencias.peru@gmail.com |asociacion civil esencias - |jr. hermanos villaran 195 urb. el bosque ||lima |||||405-6714 |asociacion.esencias.peru@gmail.com 
forjandotalentos.andresbello@gmail.com |asociacion civil forjando talentos andres bello - fortan |"jr. jose del carmen verastegui 250 zona ""c"" "||lima |||||2766841|forjandotalentos.andresbello@gmail.com 
anemiacero@anemiacero.org |asfuchpoc |jr. loreto 1241- 1245 ||callao |||||465-5876 |anemiacero@anemiacero.org 
asociaciongiordanolivacusco@gmail.com |asociacion civil giordano liva del cusco - |av. pacífico g-14 urb. san antonio ||cusco |||||084-222321 |asociaciongiordanolivacusco@gmail.com 
frank.cardenas@hijosdelaesperanza.org |asociacion civil hijos de la esperanza - |jr. benito juarez 1535 ||la libertad |||||(044) 622582 |frank.cardenas@hijosdelaesperanza.org 
jmanriquer@hotmail.com ||ciudad nueva h-28 dpto 1 ||moquegua |||||053-483468 |jmanriquer@hotmail.com 
rpachas@impactaperu.org / jojeda@impactaperu.org / |asociacion civil impacta salud y educacion - |av. almirante miguel grau 1010 ||lima |||||206-7800 / 997581021 / |rpachas@impactaperu.org / jojeda@impactaperu.org / 
ipecu1@gmail.com |asociacion civil instituto peruano de la ciencia y la cultura - ipecu |av. saenz peña 425-435, 2° piso ||callao |||||465-8832 / 429-3973 |ipecu1@gmail.com 
acinelad_2014@hotmail.com |"asociacion civil internacional ""emanuel"" de las asambleas de dios - acinelad "|jr. julio c. tello 658 ||junín |||||(064) 546498 / 971120840 |acinelad_2014@hotmail.com 
irwmail@yahoo.com |asociacion civil inti runakunaq wasin - i.r.w. |calle ciro alegria e-9-10 urb. villa miraflores ||cusco |||||(084) 275827 |irwmail@yahoo.com 
wrchnihongo@yahoo.es |asociacion civil kizuna amazonica - |jr. cahuide 930 ||ucayali |||||945965505|wrchnihongo@yahoo.es 
ilo@labor.org.pe |asociacion civil labor - |"urbanizacion magisterial manzana ""k"" - lote 12 "||moquegua |||||053-481816 / 053-481208 |ilo@labor.org.pe 
jhonatanboulangger@gmail.com |asociacion civil liderar y servir - liser |calle julia condesido 737 urb. santo dominguito - trujillo ||la libertad |||||949371985|jhonatanboulangger@gmail.com 
villamilagro@speedy.com.pe ||km. 6.5 carretera cajamarca - jesus ||cajamarca |||||076 - 361846 / 361846 |villamilagro@speedy.com.pe 
atq_69@hotmail.com |asociacion civil llamkarisun - llankarisun |av. universitaria s/n ||huancavelica |||||967909068|atq_69@hotmail.com 
ishimabukuro@neoandina.com / svilloslada@neoandina.com |asociacion civil neoandina - |av. la encalada 1257, oficina 401 ||lima |||||4341021|ishimabukuro@neoandina.com / svilloslada@neoandina.com 
caminaconmigocaj@yahoo.es |asociacion civil ong camina conmigo - acc |aa. vv. universidad nacional de cajamarca mz. e-5 int. 101 ||cajamarca |||||976716395|caminaconmigocaj@yahoo.es 
workinggreality@hotmail.com |trabajo y realidad - ongd trabajo y realidad |av. ucayali 316 ||huánuco |||||correo electrónico: |workinggreality@hotmail.com 
martita-2156@hotmail.com |niños desamparados y adulto mayor - acongd-andam |mz. j lote 14 - mz. e lote 01, urb. fermin avila moron ||lambayeque |||||(074) 624950 / 923463598 / |martita-2156@hotmail.com 
pilar1206.pos@gmail.com |social para el desarrollo integral - acongd-prosodi |calle antenor orrego mz. 16 lote 16 urb. santa rosa pnp ||lambayeque |||||949889200 / 940053236 |pilar1206.pos@gmail.com 
hector@amigosdelaselva.org |#�NOMBRE?|urb. jardin 34 ||loreto |||||965662206|hector@amigosdelaselva.org 
emerson_251_leo@hotmail.com |integral para mejoras de condicion de vida - asimcv |mz. r - lote 15 fermin avila moron ||lambayeque |||||(074) 424726 / 943232986 |emerson_251_leo@hotmail.com 
ongd.oasis@gmail.com |esperanza - o.n.g.d oasis |av. tacabamba 360 ||cajamarca |||||976625075|ongd.oasis@gmail.com 
ongd-abs@hotmail.com |"sembrador - ""a.b.s"" o.n.g.d "|calle iquitos 106 ||cajamarca |||||939103797|ongd-abs@hotmail.com 
danywalter35@gmail.com |asociacion civil organismo no gubernamental ong - luminares en el mundo - |mz. a lote 12 - centro pucala ||lambayeque |||||971610228 / 988735999 |danywalter35@gmail.com 
ricardo_636@hotmail.com |alimentacion, educacion y medio ambiente - ong-caema |calle 3 mz. f lote 3 - aahh las colinas ||ucayali |||||976603364|ricardo_636@hotmail.com 
immerzeel@pachamamaraymi.org |asociacion civil pachamama raymi, aprender de los mejores - pachamama raymi |calle pavitos 567 ||cusco |||||(084) 236540 |immerzeel@pachamamaraymi.org 
ongd.nuevavida@gmail.com |asociacion civil para el desarrollo integral nueva vida - |calle jose sanchez tirado 270 urb. huerta grande ||la libertad |||||(044) 224668 |ongd.nuevavida@gmail.com 
ac-amorenaccion@hotmail.com |amor en accion |calle gil de castro 705-715 urb. el bosque ||la libertad |||||(044) 221892 |ac-amorenaccion@hotmail.com 
as.asprode.25@hotmail.com |asociacion civil para el progreso y desarrollo - asprode |jr. pierola 781 ||la libertad |||||044-586390 |as.asprode.25@hotmail.com 
agua-c@agua-c.org |asociacion civil para la gestion del agua en cuencas - agua c |jr. tizon y bueno 847 ||lima |||||265-3819 |agua-c@agua-c.org 
florencio.flores@adefor.org / adefor@adefor.org |asociacion civil para la investigacion y el desarrollo forestal - adefor - |carretera al aeropuerto km. 3 - fundo tartar ||cajamarca |||||(076) 363097 |florencio.flores@adefor.org / adefor@adefor.org 
micacli_peru@hotmail.com |asociacion civil para la mitigacion de impactos de cambio climatico - micacli - |pasaje san santiago 211 - san carlos ||junín |||||981-804042 |micacli_peru@hotmail.com 
malvan@greenlife.org.pe |#�NOMBRE?|av. tejada 109, dpto. 301 ||lima |||||273-1519 |malvan@greenlife.org.pe 
juliovasquezalva@hotmail.com |asociacion civil planta tu futuro - |av. jose pardo 601, dpto. 1204 ||lima |||||951034941|juliovasquezalva@hotmail.com 
info@aciset-peru.org ||jr. jorge chavez 211 ||lima |||||972869670|info@aciset-peru.org 
asoc.civil.hds@gmail.com |acihisol |calle manuel atanasio fuentes nº 420 ||lima |||||963724543|asoc.civil.hds@gmail.com 
intelligentplus.peru@gmail.com |asociacion civil promotora del centro cultural intelligent plus - |calle sairi tupac 655 urb. santa maria ||la libertad |||||(044) 534226 |intelligentplus.peru@gmail.com 
prorural@prorural.org |asociacion civil prorural - prorural |calle ugarte y moscoso 450 - of. 702 ||lima |||||2610106|prorural@prorural.org 
escobedoasociados@hotmail.com |asociacion civil proyecto amazonas - acpa |calle moore 655 ||loreto |||||(065) 234054 / 795002 |escobedoasociados@hotmail.com 
cusco@puririsun.org / puririsuncusco@yahoo.es |asociacion civil puririsun - |lote z 27, comite ocho, pueblo joven viva el peru ||cusco |||||(084) 243737 |cusco@puririsun.org / puririsuncusco@yahoo.es 
info@diospi-suyana.org |asociacion civil religiosa diospi suyana - diospi suyana |jr. simon bolivar 205 ||apurimac |||||7079124|info@diospi-suyana.org 
andrecito2017@hotmail.com |asociacion civil religiosa san andres solidaridad y desarrollo - sasde |urb. nicolas garatea mz. 33 - lote 16 ||ancash |||||(043) 488598 |andrecito2017@hotmail.com 
jose.castillo.velasco@gmail.com ||av. mariano cornejo 345 ||lambayeque |||||968952446 / 979353463 |jose.castillo.velasco@gmail.com 
madrecristina@clinicasantateresa.com |asociacion civil santa teresa - abancay - |av. enrique pelach s/n ||apurimac |||||(083) 324058 |madrecristina@clinicasantateresa.com 
acsa@acsaperu.org |asociacion civil selva amazonica - |urbanizacion jardin 27 ||loreto |||||(065) 236277 |acsa@acsaperu.org 
abrazoswilleke@gmail.com |asociacion civil sin fines de lucro abrazos - asociacion abrazos |av. coronel paz soldan a-03 urb. amadeo repetto ||cusco |||||(084) 224705 |abrazoswilleke@gmail.com 
luquesaavedra@gmail.com |asociacion civil sin fines de lucro los niños del peru - aniñoperu |a.p.v. villa mirador b-8 ||cusco |||||(084) 505268 |luquesaavedra@gmail.com 
mujerasertivamv@gmail.com |asociacion civil sin fines de lucro mujer asertiva mv - |jr. jose ugarteche 668 ||lima |||||4347428|mujerasertivamv@gmail.com 
ivanascoy@hotmail.com |asociacion civil sin fines de lucro mundo primaveral - ascimupri |enrique marquina n° 200 ||la libertad |||||966881676|ivanascoy@hotmail.com 
solidarios@solidariosabc.org |asociacion civil solidarios abc - |av. 28 de julio 466 oficina 302 ||lima |||||971491460|solidarios@solidariosabc.org 
ylleb1@hotmail.com |asociacion civil tierra prometida del milenio - tpd milenio |av. augusto b leguia 1433, 2° piso ||lambayeque |||||(074) 234960 |ylleb1@hotmail.com 
perupobreza@yahoo.com / |asociacion civil trabajando por los pobres del peru - |calle percival lowel mz. f lote 2 urb. viñas de san antonio ||lima |||||257-3451 / 934679771 |perupobreza@yahoo.com / 
villamilagro@speedy.com.pe |asociacion civil villa milagro - |km. 6.5 carretera cajamarca-jesus ||cajamarca |||||(076) 361846 / 976635344 |villamilagro@speedy.com.pe 
waracusco@gmail.com |asociacion civil wara - asociacion wara |jr. lamay f-5 urb. lamay ||cusco |||||084-251170 |waracusco@gmail.com 
pcarranza@acovisa.org |asociacion compartiendo vida y salud - acovisa |calle palas atenea 169, urb. la campiña ||lima |||||964347351|pcarranza@acovisa.org 
rbriceño@coprodeli.org / coprodeli@coprodeli.org |asociacion comunion, promocion, desarrollo y liberacion coprodeli - |av. guardia chalaca 1371 ||callao |||||7143000|rbriceño@coprodeli.org / coprodeli@coprodeli.org 
anupadeso@yahoo.com / peruampuero@yahoo.es |asociacion con nuevos paradigmas de desarrollo sostenible - anupadeso |pasaje socrates 129, urb. benjamin doig ||callao |||||954-195810 |anupadeso@yahoo.com / peruampuero@yahoo.es 
josezarate7516@yahoo.com.pe |asociacion construyendo el futuro para niños peruanos - |centro poblado cadmalca ||cajamarca |||||976571287|josezarate7516@yahoo.com.pe 
marina@aniniiahobo.org |asociacion corazon de la amazonia nii juinti - |jr. raimondi 442 - interior 02 ||ucayali |||||(061) 576856 |marina@aniniiahobo.org 
ongcreandosuenos@gmail.com / anapaodiminich@gmail.com |asociacion creando sueños - |"jr. davalos 325 - a dpto ""n"" "||lima |||||477-0374 |ongcreandosuenos@gmail.com / anapaodiminich@gmail.com 
ongacerjp@yahoo.es |asociacion cristiana erkhetai - acer |jr. hermanos ayar mz. b lote 22-a ||ica |||||(056) 630913 / 630913 |ongacerjp@yahoo.es 
peru@aced.org |asociacion cristiana evangelica para el desarrollo - aced |av. caminos del inca 1669 ||lima |||||275-1569 / 268-1159 |peru@aced.org 
missionremovepoverty@gmail.com |asociacion cristiana felipe y jacobo - |pasaje los jardines mz. y lote 31 ||lima |||||972162840|missionremovepoverty@gmail.com 
kiswar_ayacucho@hotmail.com |asociacion cuencas andinas kiswar - |urb. los licenciados mz. ll lote 21 ||ayacucho |||||(066) 315537 / 966167040 |kiswar_ayacucho@hotmail.com 
jayalator@gmail.com |asociacion cultural ad libitum - |jr. juan olaechea arnao 1407 urb. elio ||lima |||||993722020 / 991713395 |jayalator@gmail.com 
